,Time,Session,Volume,Price Entry,B/S,Profit
110,2023-04-20 12:00:00-04:00,RTH Lunch,4798,13123.25,Sell,-660
111,2023-04-20 12:30:00-04:00,RTH Lunch,7985,13156.25,Buy,480
112,2023-04-20 13:45:00-04:00,RTH Lunch,3077,13180.25,Sell,2360
113,2023-04-20 15:50:00-04:00,RTH Power Hour,9197,13062.25,Buy,300
114,2023-04-20 19:40:00-04:00,Asia Session,310,13077.25,Sell,-185
115,2023-04-20 20:15:00-04:00,Asia Session,309,13086.5,Buy,-75
116,2023-04-20 20:25:00-04:00,Asia Session,162,13082.75,Sell,-85
117,2023-04-20 20:30:00-04:00,Asia Session,176,13087,Buy,120
118,2023-04-20 21:30:00-04:00,Asia Session,294,13093,Sell,-80
119,2023-04-20 23:10:00-04:00,Overnight Session,204,13097,Buy,-85
120,2023-04-20 23:45:00-04:00,Overnight Session,166,13092.75,Sell,-20
121,2023-04-20 23:50:00-04:00,Overnight Session,74,13093.75,Buy,-15
122,2023-04-20 23:55:00-04:00,Overnight Session,68,13093,Sell,80
123,2023-04-21 01:15:00-04:00,Overnight Session,249,13089,Buy,-140
124,2023-04-21 01:35:00-04:00,Overnight Session,432,13082,Sell,-80
125,2023-04-21 01:45:00-04:00,Overnight Session,197,13086,Buy,-125
126,2023-04-21 02:10:00-04:00,Overnight Session,235,13079.75,Sell,-125
127,2023-04-21 02:20:00-04:00,Overnight Session,329,13086,Buy,-115
128,2023-04-21 02:25:00-04:00,Overnight Session,347,13080.25,Sell,405
129,2023-04-21 03:55:00-04:00,Overnight Session,893,13060,Buy,170
130,2023-04-21 05:55:00-04:00,Overnight Session,612,13068.5,Sell,820
131,2023-04-21 07:30:00-04:00,Overnight Session,994,13027.5,Buy,-90
132,2023-04-21 09:50:00-04:00,RTH Session,13460,13023,Sell,-755
133,2023-04-21 10:20:00-04:00,RTH Session,9934,13060.75,Buy,-840
134,2023-04-21 10:45:00-04:00,RTH Session,13041,13018.75,Sell,-1055
135,2023-04-21 11:00:00-04:00,RTH Lunch,10383,13071.5,Buy,-10
136,2023-04-21 12:30:00-04:00,RTH Lunch,4190,13071,Sell,-575
137,2023-04-21 13:40:00-04:00,RTH Lunch,6499,13099.75,Buy,-155
138,2023-04-21 14:35:00-04:00,RTH Lunch,3596,13092,Sell,80
139,2023-04-21 15:55:00-04:00,RTH Power Hour,11450,13088,Buy,-240
140,2023-04-21 16:55:00-04:00,After-Session,505,13076,Sell,95
141,2023-04-23 18:50:00-04:00,Asia Session,344,13071.25,Buy,-265
142,2023-04-23 20:00:00-04:00,Asia Session,889,13058,Sell,25
143,2023-04-23 20:55:00-04:00,Asia Session,199,13056.75,Buy,-65
144,2023-04-23 22:40:00-04:00,Overnight Session,249,13053.5,Sell,-40
145,2023-04-23 23:25:00-04:00,Overnight Session,88,13055.5,Buy,-85
146,2023-04-23 23:30:00-04:00,Overnight Session,134,13051.25,Sell,5
147,2023-04-24 00:25:00-04:00,Overnight Session,98,13051,Buy,-90
